"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Sertoli","SSC","SPP1","ITGA8_ITGB1",0.000196311236255087,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Spermatocyte","SPP1","ITGA8_ITGB1",7.1384944364945e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Spermatid","SPP1","ITGA8_ITGB1",6.98714391473518e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Leydig","SPP1","ITGA8_ITGB1",3.67697347251547e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGA8_ITGB1",0.000273824386946744,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Fibroblast","SPP1","ITGA8_ITGB1",0.000282444469425037,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","ITGA8_ITGB1",8.08582131887083e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGA5_ITGB1",5.68459119872269e-05,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","ITGA5_ITGB1",7.09378721774572e-06,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"SSC","SSC","PTN","PTPRZ1",2.16203208788368e-06,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Spermatocyte","PTN","PTPRZ1",1.31362559418536e-06,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Spermatid","PTN","PTPRZ1",1.91318352523572e-06,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Sertoli","PTN","PTPRZ1",4.93813114741065e-05,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Leydig","PTN","PTPRZ1",1.9756738841432e-06,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Myoid","PTN","PTPRZ1",3.01290973491191e-06,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Fibroblast","PTN","PTPRZ1",1.64248641267952e-05,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Endothelial","PTN","PTPRZ1",1.07769819258911e-06,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","SSC","PTN","SDC2",6.43439954647354e-06,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Spermatocyte","PTN","SDC2",2.329764943327e-06,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Spermatid","PTN","SDC2",1.89075802457566e-06,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Sertoli","PTN","SDC2",0.000119167352686179,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Leydig","PTN","SDC2",9.00371342888264e-07,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Myoid","PTN","SDC2",2.09398618166013e-06,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Fibroblast","PTN","SDC2",5.42688258171606e-06,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Endothelial","PTN","SDC2",2.14325515004876e-06,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Sertoli","PTN","SDC4",4.17516059935287e-07,0,"PTN_SDC4","PTN - SDC4","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","SSC","PTN","ITGAV_ITGB3",7.97721296055959e-07,0,"PTN_ITGAV_ITGB3","PTN - (ITGAV+ITGB3)","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"SSC","Spermatid","PTN","ITGAV_ITGB3",2.65467887169915e-07,0,"PTN_ITGAV_ITGB3","PTN - (ITGAV+ITGB3)","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
