"celltype","pathway","cluster","dataset","weight"
"Spermatid","NECTIN","C2","healthy",0.000604313560168045
"Spermatid","NEGR","C4","healthy",3.8864402180246e-06
"Spermatid","NGL","C2","crypto",4.03574406450874e-06
"Spermatid","NRG","C4","crypto",0.00621767397307935
"Spermatid","NRG","C4","healthy",0.0102754749836857
"Spermatid","NRXN","C4","crypto",0.00113764610612964
"Spermatid","NRXN","C4","healthy",0.00143344319122858
"Spermatid","NT","C2","healthy",2.43931455723488e-05
"Spermatid","Netrin","C2","crypto",0.000231841351379622
"Spermatid","Netrin","C2","healthy",8.56640036426757e-05
"Spermatid","PTPRM","C4","crypto",0.00653209477407045
"Spermatid","SEMA6","C2","healthy",3.12206572840647e-05
"Spermatocyte","ADGRL","C4","crypto",0.00133642015725789
"Spermatocyte","ADGRL","C4","healthy",0.00360484091329511
"Spermatocyte","BMP","C1","healthy",0.001294179602161
"Spermatocyte","CADM","C4","healthy",0.0539450399532348
"Spermatocyte","CD39","C4","healthy",0.00247257558747249
"Spermatocyte","CNTN","C4","healthy",0.000855370250655752
"Spermatocyte","Cort","C1","healthy",0.000477565737181996
"Spermatocyte","Estradiol","C4","healthy",0.0094649859620428
"Spermatocyte","FGF","C4","healthy",0.00022424278629266
"Spermatocyte","GAP","C4","healthy",7.64579150979185e-05
"Spermatocyte","LAMININ","C4","healthy",0.00233033914479798
"Spermatocyte","NECTIN","C2","healthy",0.00113681926347282
"Spermatocyte","NRG","C4","crypto",0.00502232360638303
"Spermatocyte","NRG","C4","healthy",0.0175488051593499
"Spermatocyte","NRXN","C4","crypto",0.000318198956721411
"Spermatocyte","NRXN","C4","healthy",0.00376567937517736
"Spermatocyte","PCDH","C4","healthy",0.00397285039773533
"Spermatocyte","TENASCIN","C4","healthy",0.000320174011572277
