"gene","status"
"NOTCH4","PRESENT"
"NLGN1","PRESENT"
"NLGN2","PRESENT"
"NLGN3","PRESENT"
"PDCD1","PRESENT"
"GLG1","PRESENT"
"PODXL","PRESENT"
"PLXNB1","PRESENT"
"PLXNB2","PRESENT"
"PLXNB3","PRESENT"
"CD72","PRESENT"
"PLXNA1","PRESENT"
"PLXNA3","PRESENT"
"PLXNA2","PRESENT"
"PLXNA4","PRESENT"
"PLXNC1","PRESENT"
"IGSF11","PRESENT"
"DSG3","PRESENT"
"DSG4","PRESENT"
"PLAUR","PRESENT"
"GLRA2","PRESENT"
"ADGRA2","PRESENT"
"ADGRB1","PRESENT"
"ADGRB2","PRESENT"
"ADGRB3","PRESENT"
"ADGRE5","PRESENT"
"ADGRG1","PRESENT"
"ADGRG6","PRESENT"
"ADGRL1","PRESENT"
"ADGRL2","PRESENT"
"ADGRL3","PRESENT"
"UNC5B","PRESENT"
"UNC5C","PRESENT"
"UNC5D","PRESENT"
"ADRA1A","PRESENT"
"ADRA1B","PRESENT"
"ADRA1D","PRESENT"
"ADRA2A","PRESENT"
"ADRA2B","PRESENT"
"ADRA2C","PRESENT"
"ADRB1","PRESENT"
"ADRB2","PRESENT"
"ADRB3","PRESENT"
"AGTR2","PRESENT"
"CHRM1","PRESENT"
"CHRM2","PRESENT"
"CHRM3","PRESENT"
"CHRM4","PRESENT"
"CHRM5","PRESENT"
"CLSTN1","PRESENT"
"CLSTN2","PRESENT"
"CLSTN3","PRESENT"
"CYSLTR1","PRESENT"
"CYSLTR2","PRESENT"
"DRD1","PRESENT"
"DRD2","PRESENT"
"DRD3","PRESENT"
"DRD4","PRESENT"
"DRD5","PRESENT"
"GABBR1","PRESENT"
"GABBR2","PRESENT"
"GRIA1","PRESENT"
"GRIA2","PRESENT"
"GRIA3","PRESENT"
"GRIA4","PRESENT"
"GRID2","PRESENT"
"GRIK1","PRESENT"
"GRIK2","PRESENT"
"GRIK3","PRESENT"
"GRM1","PRESENT"
"GRM2","PRESENT"
"GRM3","PRESENT"
"GRM4","PRESENT"
"GRM5","PRESENT"
"GRM6","PRESENT"
"GRM7","PRESENT"
"GRM8","PRESENT"
"HRH1","PRESENT"
"HRH2","PRESENT"
"HRH3","PRESENT"
"HRH4","PRESENT"
"HTR1A","PRESENT"
"HTR1B","PRESENT"
"HTR1D","PRESENT"
"HTR1E","PRESENT"
"HTR1F","PRESENT"
"HTR2A","PRESENT"
"HTR2B","PRESENT"
"HTR2C","PRESENT"
"HTR4","PRESENT"
"HTR5A","PRESENT"
"HTR6","PRESENT"
"HTR7","PRESENT"
"PTPRD","PRESENT"
"LRRTM1","PRESENT"
"LRRTM2","PRESENT"
"LRRTM3","PRESENT"
"LRRTM4","PRESENT"
"LTB4R","PRESENT"
"PTGDR","PRESENT"
"PTGDR2","PRESENT"
"PTGER1","PRESENT"
"PTGER2","PRESENT"
"PTGER3","PRESENT"
"PTGER4","PRESENT"
"PTGFR","PRESENT"
"PTGIR","PRESENT"
"TBXA2R","PRESENT"
"NR1H4","PRESENT"
"CNR1","PRESENT"
"CNR2","PRESENT"
"GPR55","PRESENT"
"PGR","PRESENT"
"SORL1","PRESENT"
"TNFRSF21","PRESENT"
"NR3C1","PRESENT"
"NR3C2","PRESENT"
"AR","PRESENT"
"ABCA1","PRESENT"
"APOBR","PRESENT"
"RORB","PRESENT"
"CADM4","PRESENT"
"EPB41L1","PRESENT"
"VDR","PRESENT"
"TREML2","PRESENT"
"RORA","PRESENT"
"RORC","PRESENT"
"ESR1","PRESENT"
"NR1I2","PRESENT"
"PPARA","PRESENT"
"NR1H2","PRESENT"
"NR1H3","PRESENT"
"PPARD","PRESENT"
"PPARG","PRESENT"
"ESR2","PRESENT"
"GPER1","PRESENT"
"TMEM219","PRESENT"
"P4HB","PRESENT"
"MTNR1A","PRESENT"
"MTNR1B","PRESENT"
"DCC","PRESENT"
"DSCAM","PRESENT"
"CD200R1","PRESENT"
"CD177","PRESENT"
"CD38","PRESENT"
"BSG","PRESENT"
"PROCR","PRESENT"
"LRP8","PRESENT"
"VLDLR","PRESENT"
"STRA6","PRESENT"
"HTR3A","PRESENT"
"HTR3B","PRESENT"
"ROBO1","PRESENT"
"ROBO2","PRESENT"
"THRA","PRESENT"
"THRB","PRESENT"
