"human_symbol","n_horse_genes","n_present","best_gene","best_expr","non_loc_gene","non_loc_expr","non_loc_is_best","all_genes"
"ZMYM6",2,2,"ZMYM6",77178,"ZMYM6",77178,TRUE,"LOC102148151=0; ZMYM6=77178"
"ZNF280B",2,2,"LOC102148396",19637,"ZNF280B",12891,FALSE,"LOC102148396=19637; ZNF280B=12891"
"ZNF292",2,2,"ZNF292",137826,"ZNF292",137826,TRUE,"LOC111775311=357; ZNF292=137826"
"ZNF404",4,4,"ZNF404",4552,"ZNF404",4552,TRUE,"LOC111771785=20; LOC111772366=23; LOC111775209=1393; ZNF404=4552"
"ZNF529",2,2,"LOC100060985",47771,NA,NA,NA,"LOC100060985=47771; LOC111775403=16293"
"ZNF658",2,2,"LOC100060075",12004,NA,NA,NA,"LOC100060075=12004; LOC111771910=48"
"ZNF674",2,2,"ZNF674",4373,"ZNF674",4373,TRUE,"LOC100060244=1444; ZNF674=4373"
"ZNF706",2,2,"ZNF706",10496,"ZNF706",10496,TRUE,"LOC111774990=133; ZNF706=10496"
"ZNF711",4,4,"LOC111772307",2,"ZNF711",1,FALSE,"LOC111771819=0; LOC111772177=1; LOC111772307=2; ZNF711=1"
"ZNF75A",2,2,"ZNF75A",79048,"ZNF75A",79048,TRUE,"LOC111767582=0; ZNF75A=79048"
"ZNF75D",2,2,"LOC111771447",133,NA,NA,NA,"LOC100063485=44; LOC111771447=133"
"ZXDB",2,2,"ZXDB",592,"ZXDB",592,TRUE,"LOC111771718=0; ZXDB=592"
